R,G,B,Rasa
137,112,73,Manis
125,103,65,Manis
135,80,28,Manis
153,110,24,Manis
123,96,23,Manis
127,107,40,Manis
109,92,72,Manis
112,100,44,1
116,106,56,1
104,90,42,1
122,88,38,1
116,108,56,1
126,89,39,1
119,109,34,1
123,91,38,1
174,162,102,1
102,79,22,1
125,105,46,1
112,89,22,1
120,104,46,1
130,95,14,1
107,81,52,1
156,152,96,1
107,62,15,1
104,82,40,1
110,86,35,1
175,152,110,1
111,88,42,1
132,106,46,1
115,102,24,1
110,115,19,2
116,118,13,2
20,39,0,2
108,154,14,2
93,102,27,2
58,134,4,2
121,152,16,2
78,72,0,2
113,116,20,2
88,110,20,2
100,120,20,2
141,144,64,2
57,86,2,2
107,114,7,2
101,129,20,2
76,71,15,2
87,96,0,2
115,123,2,2
75,79,2,2
74,75,12,2
115,123,2,2
75,79,2,2
104,95,8,2
70,72,5,2
101,107,15,2
93,87,6,2
81,78,7,2
81,74,26,2
103,102,33,2
101,95,47,2
73,132,2,3
87,128,16,3
63,113,21,3
95,151,28,3
89,128,52,3
75,100,13,3
75,112,11,3
84,138,13,3
99,138,13,3
73,120,15,3
94,147,37,3
92,124,0,3
104,125,5,3
93,116,52,3
96,123,31,3
75,82,29,3
81,102,42,3
99,141,13,3
104,141,56,3
110,154,10,3
91,59,33,3
107,167,13,3
103,127,9,3
104,141,56,3
110,154,10,3
99,141,13,3
70,107,23,3
92,133,5,3
79,112,18,3
115,133,25,3
